,TIMESTAMP,MAIN_Z-LEFT,MAIN_Z-MIDDLE,MAIN_Z-RIGHT,PLC_COUNTER1,PLC_COUNTER2,PLC_COUNTER3,PLC_COUNTER4,PLC_COUNTER5,PLC_COUNTER6,SUB1_ALARM,SUB1_CYCLE_TIME,SUB1_HEATING_STATUS,SUB1_MAX_TEMP,SUB1_PV_TEMP,SUB2_ALARM,SUB2_CYCLE_TIME,SUB2_HEATING_STATUS,SUB2_MAX_TEMP,SUB2_PV_TEMP,SUB3_ALARM,SUB3_CYCLE_TIME,SUB3_HEATING_STATUS,SUB3_MAX_TEMP,SUB3_PV_TEMP,SUB4_ALARM,SUB4_CYCLE_TIME,SUB4_HEATING_STATUS,SUB4_MAX_TEMP,SUB4_PV_TEMP,SUB5_ALARM,SUB5_CYCLE_TIME,SUB5_HEATING_STATUS,SUB5_MAX_TEMP,SUB5_PV_TEMP,SUB6_ALARM,SUB6_CYCLE_TIME,SUB6_HEATING_STATUS,SUB6_MAX_TEMP,SUB6_PV_TEMP,FR_TIME,TO_TIME
117,2023-10-23 15:00:27.782,-5.90682e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
118,2023-10-23 15:00:27.951,,,-4.725456e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
119,2023-10-23 15:00:28.016,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
120,2023-10-23 15:00:28.958,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
121,2023-10-23 15:00:29.019,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
122,2023-10-23 15:00:29.153,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
123,2023-10-23 15:00:29.178,,,,,,,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
124,2023-10-23 15:00:29.200,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
125,2023-10-23 15:00:29.234,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
126,2023-10-23 15:00:29.327,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
